Vietnamese,English,Category
Chúng tôi đã học bài ở trường cả ngày,We studied at school all day,Education
Hôm nay thời tiết rất đẹp,Today the weather is very beautiful,Weather
Tôi thích ăn phở Việt Nam,I like eating Vietnamese pho,Food
Công ty đã tăng trưởng 15% trong quý này,The company grew 15% this quarter,Business
Sinh viên đang chuẩn bị cho kỳ thi,Students are preparing for the exam,Education
Hà Nội là thủ đô của Việt Nam,Hanoi is the capital of Vietnam,Geography
Công nghệ AI đang phát triển nhanh chóng,AI technology is developing rapidly,Technology
Khách hàng rất hài lòng với dịch vụ,Customers are very satisfied with the service,Business
Việt Nam có nhiều danh lam thắng cảnh đẹp,Vietnam has many beautiful scenic spots,Tourism
Các nhà khoa học đang nghiên cứu vaccine mới,Scientists are researching new vaccines,Science 
