ID,Word,Pronunciation,Position,Additional_Info_1,POS_Tag,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5
VN00000101,xin,sin,1,sin,VERB,-,-,O,-
VN00000102,chào,chao2,2,chao2,VERB,-,-,O,-
VN00000103,!,!,3,-,PUNCT,-,-,O,-
VN00000201,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00000202,có,ko1,2,ko1,VERB,-,-,O,-
VN00000203,khỏe,khoe3,3,khoe3,ADJ,-,-,O,-
VN00000204,không,khoong,4,khoong,ADV,-,-,O,-
VN00000205,?,?,5,-,PUNCT,-,-,O,-
VN00000301,tôi,tooi,1,tooi,PRON,-,-,O,-
VN00000302,rất,raat1,2,raat1,ADV,-,-,O,-
VN00000303,khỏe,khoe3,3,khoe3,ADJ,-,-,O,-
VN00000304,.,.,4,-,PUNCT,-,-,O,-
VN00000401,cảm,kaam3,1,kaam3,VERB,-,-,O,-
VN00000402,ơn,own,2,own,VERB,-,-,O,-
VN00000403,!,!,3,-,PUNCT,-,-,O,-
VN00000501,tạm,tam5,1,tam5,VERB,-,-,O,-
VN00000502,biệt,bieet5,2,bieet5,VERB,-,-,O,-
VN00000503,!,!,3,-,PUNCT,-,-,O,-
VN00000601,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00000602,tên,teen,2,teen,NOUN,-,-,O,-
VN00000603,là,laa,3,laa,VERB,-,-,O,-
VN00000604,gì,zi,4,zi,PRON,-,-,O,-
VN00000605,?,?,5,-,PUNCT,-,-,O,-
VN00000701,tôi,tooi,1,tooi,PRON,-,-,O,-
VN00000702,tên,teen,2,teen,NOUN,-,-,O,-
VN00000703,là,laa,3,laa,VERB,-,-,O,-
VN00000704,Nguyễn,ngwien,4,ngwien,PROPN,-,PER,-
VN00000705,.,.,5,-,PUNCT,-,-,O,-
VN00000801,rất,raat1,1,raat1,ADV,-,-,O,-
VN00000802,vui,vui,2,vui,ADJ,-,-,O,-
VN00000803,được,duoc5,3,duoc5,VERB,-,-,O,-
VN00000804,gặp,gap5,4,gap5,VERB,-,-,O,-
VN00000805,bạn,ban5,5,ban5,PRON,-,-,O,-
VN00000806,!,!,6,-,PUNCT,-,-,O,-
VN00000901,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00000902,đến,den5,2,den5,VERB,-,-,O,-
VN00000903,từ,tu2,3,tu2,ADP,-,-,O,-
