ID,Word,Pronunciation,Position,Additional_Info_1,POS_Tag,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5
ED00000101,你,你,2,-,PN,-,-,O,-
ED00000102,好,好,1,-,VA,-,-,O,-
ED00000103,！,！,3,-,PU,-,-,O,-
ED00000201,你,你,1,-,PN,-,-,O,-
ED00000202,好,好,2,-,VA,-,-,O,-
ED00000203,吗,吗,3,-,SP,-,-,O,-
ED00000204,？,？,4,-,PU,-,-,O,-
ED00000301,很,很,1,-,AD,-,-,O,-
ED00000302,好,好,2,-,VA,-,-,O,-
ED00000303,。,。,3,-,PU,-,-,O,-
ED00000401,我,我,1,-,PN,-,-,O,-
ED00000402,也,也,2,-,AD,-,-,O,-
ED00000403,很,很,3,-,AD,-,-,O,-
ED00000404,好,好,4,-,VA,-,-,O,-
ED00000405,。,。,5,-,PU,-,-,O,-
ED00000501,玛丽,玛丽,1,-,NR,-,-,O,-
ED00000502,，,，,2,-,PU,-,-,O,-
ED00000503,你,你,4,-,PN,-,-,O,-
ED00000504,好,好,3,-,VA,-,-,O,-
ED00000505,！,！,5,-,PU,-,-,O,-
ED00000601,你,你,2,-,PN,-,-,O,-
ED00000602,好,好,1,-,VA,-,-,O,-
ED00000603,，,，,3,-,PU,-,-,O,-
ED00000604,大卫,大卫,4,-,NR,-,-,O,-
ED00000605,。,。,5,-,PU,-,-,O,-
ED00000701,很,很,1,-,AD,-,-,O,-
ED00000702,好,好,2,-,VA,-,-,O,-
ED00000703,，,，,3,-,PU,-,-,O,-
ED00000704,你,你,4,-,PN,-,-,O,-
ED00000705,好,好,5,-,VA,-,-,O,-
ED00000706,吗,吗,6,-,SP,-,-,O,-
ED00000707,？,？,7,-,PU,-,-,O,-
ED00000801,你们,你们,1,2,PN,-,-,O,-
ED00000802,好,好,3,-,VA,-,-,O,-
ED00000803,吗,吗,4,-,SP,-,-,O,-
ED00000804,？,？,5,-,PU,-,-,O,-
ED00000901,我们,我们,1,-,PN,-,-,O,-
ED00000902,都,都,2,-,AD,-,-,O,-
ED00000903,很,很,3,-,AD,-,-,O,-
ED00000904,好,好,4,-,VA,-,-,O,-
ED00000905,。,。,5,-,PU,-,-,O,-
ED00000906,你,你,6,-,PN,-,-,O,-
ED00000907,好,好,7,-,VA,-,-,O,-
ED00000908,吗,吗,8,-,SP,-,-,O,-
ED00000909,？,？,9,-,PU,-,-,O,-
ED00001001,你,你,1,-,PN,-,-,O,-
ED00001002,来,来,2,-,VV,-,-,O,-
ED00001003,吗,吗,3,-,SP,-,-,O,-
ED00001004,？,？,4,-,PU,-,-,O,-
ED00001101,我,我,1,-,PN,-,-,O,-
ED00001102,来,来,2,-,VV,-,-,O,-
ED00001103,。,。,3,-,PU,-,-,O,-
ED00001201,爸爸,爸爸,1,-,NN,-,-,O,-
ED00001202,，,，,2,-,PU,-,-,O,-
ED00001203,妈妈,妈妈,3,-,NN,-,-,O,-
ED00001204,来,来,4,-,VV,-,-,O,-
ED00001205,吗,吗,5,-,SP,-,-,O,-
ED00001206,？,？,6,-,PU,-,-,O,-
ED00001301,他们,他们,1,2,PN,-,-,O,-
ED00001302,都,都,2,-,AD,-,-,O,-
ED00001303,来,来,3,-,VV,-,-,O,-
ED00001304,。,。,4,-,PU,-,-,O,-
ED00001401,你,你,2,-,PN,-,-,O,-
ED00001402,早,早,1,-,VA,-,-,O,-
ED00001403,！,！,3,-,PU,-,-,O,-
ED00001501,你,你,3,-,PN,-,-,O,-
ED00001502,身体,身体,1,2,NN,-,-,O,-
ED00001503,好,好,5,-,VA,-,-,O,-
ED00001504,吗,吗,6,-,SP,-,-,O,-
ED00001505,？,？,7,-,PU,-,-,O,-
ED00001601,谢谢,谢谢,1,-,VV,-,-,O,-
ED00001602,！,！,2,-,PU,-,-,O,-
ED00001701,再见,再见,1,-,VV,-,-,O,-
ED00001702,！,！,2,-,PU,-,-,O,-
ED00001801,很,很,1,-,AD,-,-,O,-
ED00001802,好,好,2,-,VA,-,-,O,-
ED00001803,。,。,3,-,PU,-,-,O,-
ED00001804,谢谢,谢谢,4,-,VV,-,-,O,-
ED00001805,。,。,5,-,PU,-,-,O,-
ED00001901,再见,再见,1,-,VV,-,-,O,-
ED00001902,。,。,2,-,PU,-,-,O,-
ED00002001,今天,今天,1,-,NT,-,-,O,-
ED00002002,六,六,3,-,OD,-,-,O,-
ED00002003,号,号,2,-,NN,-,-,O,-
ED00002004,。,。,4,-,PU,-,-,O,-
ED00002005,李,李,6,-,NR,-,PER,-
ED00002006,老师,老师,5,-,NN,-,-,O,-
ED00002007,来,来,8,-,VV,-,-,O,-
ED00002008,吗,吗,9,-,SP,-,-,O,-
ED00002009,？,？,10,-,PU,-,-,O,-
ED00002101,他,他,1,2,PN,-,-,O,-
ED00002102,来,来,4,-,VV,-,-,O,-
ED00002103,。,。,5,-,PU,-,-,O,-
ED00002201,五号,五号,1,2,NT,-,-,O,-
ED00002301,二十七,二十七,1,2,CD,-,NUM,-
ED00002302,号,号,-,-,M,-,-,O,-
ED00002303,。,。,3,-,PU,-,-,O,-
ED00002401,你,你,3,-,PN,-,-,O,-
ED00002402,工作,工作,1,2,VV,-,-,O,-
ED00002403,忙,忙,4,-,VA,-,-,O,-
