ID,Word,Pronunciation,Position,Additional_Info_1,POS_Tag,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5
VD00000101,chào,chao2,2,chao2,Vv,-,-,O,-
VD00000102,bạn,ban5,1,ban5,Pp,-,-,O,-
VD00000103,!,!,3,-,PU,-,-,O,-
VD00000201,bạn,ban5,1,ban5,Pp,-,-,O,-
VD00000202,khoẻ,khoe3,2,khoe3,Aa,-,-,O,-
VD00000203,không,khoong,3,khoong,R,-,-,O,-
VD00000204,?,?,4,-,PU,-,-,O,-
VD00000301,rất,raat1,1,raat1,R,-,-,O,-
VD00000302,khoẻ,khoe3,2,khoe3,Aa,-,-,O,-
VD00000303,.,.,3,-,PU,-,-,O,-
VD00000401,tôi,tooi,1,tooi,Pp,-,-,O,-
VD00000402,cũng,cung4,2,cung4,R,-,-,O,-
VD00000403,rất,raat1,3,raat1,R,-,-,O,-
VD00000404,khoẻ,khoe3,4,khoe3,Aa,-,-,O,-
VD00000405,.,.,5,-,PU,-,-,O,-
VD00000501,Mary,mary,1,mary,Nr,-,PER_B,-
VD00000502,',',2,-,PU,-,-,O,-
VD00000503,chào,chao2,4,chao2,Vv,-,-,O,-
VD00000504,bạn,ban5,3,ban5,Pp,-,-,O,-
VD00000505,!,!,5,-,PU,-,-,O,-
VD00000601,chào,chao2,2,chao2,Vv,-,-,O,-
VD00000602,bạn,ban5,1,ban5,Pp,-,-,O,-
VD00000603,',',3,-,PU,-,-,O,-
VD00000604,Đại_Vệ,ddai5_vee5,4,ddai5_vee5,Nr,-,PER_B,-
VD00000605,.,.,5,-,PU,-,-,O,-
VD00000701,rất,raat1,1,raat1,R,-,-,O,-
VD00000702,khoẻ,khoe3,2,khoe3,Aa,-,-,O,-
VD00000703,',',3,-,PU,-,-,O,-
VD00000704,bạn,ban5,4,ban5,Pp,-,-,O,-
VD00000705,khoẻ,khoe3,5,khoe3,Aa,-,-,O,-
VD00000706,không,khoong,6,khoong,R,-,-,O,-
VD00000707,?,?,7,-,PU,-,-,O,-
VD00000801,các,cac1,1,cac1,Nq,-,-,O,-
VD00000802,bạn,ban5,1,ban5,Nn,-,-,O,-
VD00000803,khoẻ,khoe3,2,khoe3,Aa,-,-,O,-
VD00000804,không,khoong,3,khoong,R,-,-,O,-
VD00000805,?,?,4,-,PU,-,-,O,-
VD00000901,chúng_tôi,chung1_tooi,1,chung1_tooi,Pp,-,-,O,-
VD00000902,đều,ddeeu2,2,ddeeu2,R,-,-,O,-
VD00000903,rất,raat1,3,raat1,R,-,-,O,-
VD00000904,khoẻ,khoe3,4,khoe3,Aa,-,-,O,-
VD00000905,.,.,5,-,PU,-,-,O,-
VD00000906,bạn,ban5,6,ban5,Pp,-,-,O,-
VD00000907,khoẻ,khoe3,7,khoe3,Aa,-,-,O,-
VD00000908,không,khoong,8,khoong,R,-,-,O,-
VD00000909,?,?,9,-,PU,-,-,O,-
VD00001001,bạn,ban5,1,ban5,Pp,-,-,O,-
VD00001002,đến,ddeen1,2,ddeen1,Vd,-,-,O,-
VD00001003,không,khoong,3,khoong,R,-,-,O,-
VD00001004,?,?,4,-,PU,-,-,O,-
VD00001101,tôi,tooi,1,tooi,Pp,-,-,O,-
